GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",1522,92,1118,131,404,121
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",1943,90,98,62,1845,108
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",869,55,141,46,728,56
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",531,29,9,13,522,32
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",1490,90,141,67,1349,95
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",1372,69,204,74,1168,100
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",760,45,81,36,679,53
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",1350,79,51,48,1299,85
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",462,32,263,57,199,58
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",1561,90,189,66,1372,114
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",2464,113,1594,244,870,254
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",2250,117,158,91,2092,153
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",1278,71,155,56,1123,83
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",1212,76,857,120,355,110
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",1928,97,122,46,1806,108
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",442,34,14,12,428,36
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",2161,104,243,105,1918,148
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",2243,67,59,44,2184,81
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",2003,72,7,16,1996,75
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",1620,56,0,16,1620,56
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",1415,97,71,49,1344,107
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",1759,104,207,81,1552,125
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",871,49,575,69,296,61
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",1472,74,251,79,1221,91
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",1090,39,80,39,1010,49
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",1289,74,177,79,1112,101
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",424,46,267,52,157,49
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",641,64,12,13,629,65
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",1526,109,791,146,735,136
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",1751,64,32,41,1719,74
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",554,54,309,51,245,62
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",0,11,0,11,0,11
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",360,39,228,39,132,39
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",363,31,14,17,349,33
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",742,62,529,74,213,63
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",826,47,53,30,773,55
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",453,34,59,32,394,39
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",0,11,0,11,0,11
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",2150,119,97,78,2053,143
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",2452,114,69,79,2383,127
1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",1239,107,85,78,1154,152
1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",1627,113,182,82,1445,135
1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",1704,71,172,61,1532,90
1400000US36005017902,36005017902,"Census Tract 179.02, Bronx County, New York",1114,49,0,11,1114,49
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",968,78,160,58,808,97
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",1621,69,56,57,1565,81
1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",1899,81,285,70,1614,96
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",1252,68,39,30,1213,73
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",1421,105,631,111,790,160
1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",2439,163,5,16,2434,166
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",2879,112,205,123,2674,155
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",1982,86,0,16,1982,86
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",710,50,225,65,485,76
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",2739,79,131,74,2608,106
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",2187,104,0,16,2187,104
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",2680,138,189,93,2491,161
1400000US36005020000,36005020000,"Census Tract 200, Bronx County, New York",1491,71,143,57,1348,79
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",1307,60,34,25,1273,61
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",847,46,99,41,748,58
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",1029,76,210,76,819,100
1400000US36005020501,36005020501,"Census Tract 205.01, Bronx County, New York",2690,106,151,87,2539,129
1400000US36005020502,36005020502,"Census Tract 205.02, Bronx County, New York",874,69,105,65,769,79
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",846,87,262,87,584,115
1400000US36005020900,36005020900,"Census Tract 209, Bronx County, New York",1537,106,0,11,1537,106
1400000US36005021001,36005021001,"Census Tract 210.01, Bronx County, New York",3850,226,1290,276,2560,289
1400000US36005021002,36005021002,"Census Tract 210.02, Bronx County, New York",3007,137,542,166,2465,210
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",1791,91,101,48,1690,97
1400000US36005021200,36005021200,"Census Tract 212, Bronx County, New York",2105,173,545,191,1560,201
1400000US36005021301,36005021301,"Census Tract 213.01, Bronx County, New York",459,19,42,17,417,27
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",1961,69,80,65,1881,93
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",1402,36,11,19,1391,41
1400000US36005021502,36005021502,"Census Tract 215.02, Bronx County, New York",2109,51,15,25,2094,58
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",1586,84,224,61,1362,92
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",2517,91,344,140,2173,158
1400000US36005021700,36005021700,"Census Tract 217, Bronx County, New York",1675,91,24,21,1651,87
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",2277,144,439,132,1838,166
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",409,26,6,9,403,28
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",464,39,16,12,448,41
1400000US36005022101,36005022101,"Census Tract 221.01, Bronx County, New York",1193,54,0,11,1193,54
1400000US36005022102,36005022102,"Census Tract 221.02, Bronx County, New York",1583,100,48,52,1535,112
1400000US36005022200,36005022200,"Census Tract 222, Bronx County, New York",1179,52,161,56,1018,75
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",1830,57,0,16,1830,57
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",1112,46,188,69,924,78
1400000US36005022403,36005022403,"Census Tract 224.03, Bronx County, New York",1320,57,101,52,1219,72
1400000US36005022404,36005022404,"Census Tract 224.04, Bronx County, New York",1807,64,319,94,1488,111
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",2307,99,41,30,2266,101
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",1829,65,59,48,1770,81
1400000US36005022702,36005022702,"Census Tract 227.02, Bronx County, New York",646,33,10,14,636,35
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",585,26,0,11,585,26
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",2439,117,150,70,2289,144
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",1716,102,61,61,1655,119
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",1092,68,108,71,984,86
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",1006,53,210,66,796,70
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",441,30,19,16,422,32
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",840,47,244,45,596,61
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",1519,67,46,39,1473,75
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",959,50,6,9,953,50
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",1099,36,0,11,1099,36
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",1687,54,52,43,1635,61
1400000US36005023600,36005023600,"Census Tract 236, Bronx County, New York",637,36,123,45,514,50
1400000US36005023702,36005023702,"Census Tract 237.02, Bronx County, New York",324,34,0,11,324,34
1400000US36005023703,36005023703,"Census Tract 237.03, Bronx County, New York",1434,106,63,50,1371,119
1400000US36005023704,36005023704,"Census Tract 237.04, Bronx County, New York",1346,60,9,13,1337,63
1400000US36005023800,36005023800,"Census Tract 238, Bronx County, New York",775,67,201,53,574,78
1400000US36005023900,36005023900,"Census Tract 239, Bronx County, New York",2531,101,97,59,2434,107
1400000US36005024000,36005024000,"Census Tract 240, Bronx County, New York",1165,99,315,93,850,117
1400000US36005024100,36005024100,"Census Tract 241, Bronx County, New York",1803,109,61,48,1742,107
1400000US36005024300,36005024300,"Census Tract 243, Bronx County, New York",1922,83,98,72,1824,108
1400000US36005024400,36005024400,"Census Tract 244, Bronx County, New York",826,45,315,64,511,69
1400000US36005024501,36005024501,"Census Tract 245.01, Bronx County, New York",1574,54,87,52,1487,73
1400000US36005024502,36005024502,"Census Tract 245.02, Bronx County, New York",1089,91,31,28,1058,98
1400000US36005024600,36005024600,"Census Tract 246, Bronx County, New York",753,41,410,70,343,73
1400000US36005024700,36005024700,"Census Tract 247, Bronx County, New York",740,24,22,15,718,27
1400000US36005024800,36005024800,"Census Tract 248, Bronx County, New York",1166,77,264,98,902,124
1400000US36005024900,36005024900,"Census Tract 249, Bronx County, New York",0,11,0,11,0,11
1400000US36005025000,36005025000,"Census Tract 250, Bronx County, New York",993,61,487,93,506,95
1400000US36005025100,36005025100,"Census Tract 251, Bronx County, New York",2137,111,181,91,1956,136
1400000US36005025200,36005025200,"Census Tract 252, Bronx County, New York",867,62,367,65,500,74
1400000US36005025300,36005025300,"Census Tract 253, Bronx County, New York",1873,90,98,48,1775,89
1400000US36005025400,36005025400,"Census Tract 254, Bronx County, New York",788,59,330,65,458,72
1400000US36005025500,36005025500,"Census Tract 255, Bronx County, New York",2198,101,62,69,2136,124
1400000US36005025600,36005025600,"Census Tract 256, Bronx County, New York",648,45,198,54,450,64
1400000US36005025700,36005025700,"Census Tract 257, Bronx County, New York",638,46,23,30,615,57
1400000US36005026100,36005026100,"Census Tract 261, Bronx County, New York",954,55,714,71,240,65
1400000US36005026300,36005026300,"Census Tract 263, Bronx County, New York",2175,139,118,64,2057,157
1400000US36005026400,36005026400,"Census Tract 264, Bronx County, New York",1957,145,805,171,1152,194
1400000US36005026500,36005026500,"Census Tract 265, Bronx County, New York",2017,123,141,84,1876,132
1400000US36005026601,36005026601,"Census Tract 266.01, Bronx County, New York",1307,73,233,78,1074,107
1400000US36005026602,36005026602,"Census Tract 266.02, Bronx County, New York",2531,147,494,148,2037,213
1400000US36005026701,36005026701,"Census Tract 267.01, Bronx County, New York",1288,75,16,21,1272,74
1400000US36005026702,36005026702,"Census Tract 267.02, Bronx County, New York",2417,110,270,93,2147,130
1400000US36005026900,36005026900,"Census Tract 269, Bronx County, New York",1371,63,138,70,1233,84
1400000US36005027300,36005027300,"Census Tract 273, Bronx County, New York",2610,117,263,136,2347,180
1400000US36005027401,36005027401,"Census Tract 274.01, Bronx County, New York",1651,116,1086,130,565,130
1400000US36005027402,36005027402,"Census Tract 274.02, Bronx County, New York",1302,93,677,142,625,145
1400000US36005027600,36005027600,"Census Tract 276, Bronx County, New York",18,8,11,8,7,7
1400000US36005027700,36005027700,"Census Tract 277, Bronx County, New York",1748,100,286,100,1462,136
1400000US36005027900,36005027900,"Census Tract 279, Bronx County, New York",2605,168,607,155,1998,242
1400000US36005028100,36005028100,"Census Tract 281, Bronx County, New York",1652,82,1063,127,589,121
1400000US36005028300,36005028300,"Census Tract 283, Bronx County, New York",1281,84,41,31,1240,91
1400000US36005028400,36005028400,"Census Tract 284, Bronx County, New York",41,21,12,10,29,19
1400000US36005028500,36005028500,"Census Tract 285, Bronx County, New York",1523,89,255,65,1268,108
1400000US36005028600,36005028600,"Census Tract 286, Bronx County, New York",430,54,226,42,204,57
1400000US36005028700,36005028700,"Census Tract 287, Bronx County, New York",1134,96,284,99,850,99
1400000US36005028800,36005028800,"Census Tract 288, Bronx County, New York",1141,73,661,120,480,115
1400000US36005028900,36005028900,"Census Tract 289, Bronx County, New York",1776,82,177,112,1599,150
1400000US36005029301,36005029301,"Census Tract 293.01, Bronx County, New York",880,69,668,72,212,66
1400000US36005029302,36005029302,"Census Tract 293.02, Bronx County, New York",2567,139,1452,186,1115,159
1400000US36005029500,36005029500,"Census Tract 295, Bronx County, New York",1833,169,788,143,1045,182
1400000US36005029600,36005029600,"Census Tract 296, Bronx County, New York",655,58,112,37,543,59
1400000US36005029700,36005029700,"Census Tract 297, Bronx County, New York",1546,108,857,99,689,117
1400000US36005030000,36005030000,"Census Tract 300, Bronx County, New York",2600,126,667,178,1933,179
1400000US36005030100,36005030100,"Census Tract 301, Bronx County, New York",483,60,225,38,258,55
1400000US36005030200,36005030200,"Census Tract 302, Bronx County, New York",4213,112,2010,260,2203,269
1400000US36005030701,36005030701,"Census Tract 307.01, Bronx County, New York",2470,209,1081,212,1389,188
1400000US36005030900,36005030900,"Census Tract 309, Bronx County, New York",1317,81,694,106,623,116
1400000US36005031000,36005031000,"Census Tract 310, Bronx County, New York",1175,73,924,102,251,82
1400000US36005031200,36005031200,"Census Tract 312, Bronx County, New York",605,35,468,47,137,40
1400000US36005031400,36005031400,"Census Tract 314, Bronx County, New York",669,33,509,51,160,48
1400000US36005031600,36005031600,"Census Tract 316, Bronx County, New York",625,34,422,58,203,57
1400000US36005031800,36005031800,"Census Tract 318, Bronx County, New York",583,51,317,55,266,56
1400000US36005031900,36005031900,"Census Tract 319, Bronx County, New York",0,11,0,11,0,11
1400000US36005032300,36005032300,"Census Tract 323, Bronx County, New York",2345,167,1447,158,898,180
1400000US36005032400,36005032400,"Census Tract 324, Bronx County, New York",1212,89,88,45,1124,93
1400000US36005032600,36005032600,"Census Tract 326, Bronx County, New York",1006,58,552,87,454,82
1400000US36005032800,36005032800,"Census Tract 328, Bronx County, New York",1359,74,188,63,1171,91
1400000US36005033000,36005033000,"Census Tract 330, Bronx County, New York",2011,134,111,68,1900,147
1400000US36005033201,36005033201,"Census Tract 332.01, Bronx County, New York",1779,112,247,65,1532,125
1400000US36005033202,36005033202,"Census Tract 332.02, Bronx County, New York",1558,69,222,81,1336,103
1400000US36005033400,36005033400,"Census Tract 334, Bronx County, New York",605,38,115,35,490,49
1400000US36005033500,36005033500,"Census Tract 335, Bronx County, New York",738,44,392,70,346,67
1400000US36005033600,36005033600,"Census Tract 336, Bronx County, New York",2620,73,294,117,2326,127
1400000US36005033700,36005033700,"Census Tract 337, Bronx County, New York",880,65,491,58,389,72
1400000US36005033800,36005033800,"Census Tract 338, Bronx County, New York",1355,64,202,77,1153,92
1400000US36005034000,36005034000,"Census Tract 340, Bronx County, New York",1709,73,317,91,1392,120
1400000US36005034200,36005034200,"Census Tract 342, Bronx County, New York",577,42,269,59,308,60
1400000US36005034300,36005034300,"Census Tract 343, Bronx County, New York",526,64,234,46,292,59
1400000US36005034400,36005034400,"Census Tract 344, Bronx County, New York",570,43,319,66,251,73
1400000US36005034500,36005034500,"Census Tract 345, Bronx County, New York",1375,94,606,115,769,129
1400000US36005034800,36005034800,"Census Tract 348, Bronx County, New York",2092,100,670,149,1422,143
1400000US36005035000,36005035000,"Census Tract 350, Bronx County, New York",613,57,318,70,295,62
1400000US36005035100,36005035100,"Census Tract 351, Bronx County, New York",1043,91,425,84,618,106
1400000US36005035600,36005035600,"Census Tract 356, Bronx County, New York",647,51,444,70,203,69
1400000US36005035800,36005035800,"Census Tract 358, Bronx County, New York",2429,108,1395,192,1034,190
1400000US36005035900,36005035900,"Census Tract 359, Bronx County, New York",694,36,38,29,656,42
1400000US36005036000,36005036000,"Census Tract 360, Bronx County, New York",921,57,546,76,375,86
1400000US36005036100,36005036100,"Census Tract 361, Bronx County, New York",2152,96,28,29,2124,101
1400000US36005036300,36005036300,"Census Tract 363, Bronx County, New York",2533,110,116,66,2417,125
1400000US36005036400,36005036400,"Census Tract 364, Bronx County, New York",822,49,445,64,377,66
1400000US36005036501,36005036501,"Census Tract 365.01, Bronx County, New York",1312,58,68,48,1244,74
1400000US36005036502,36005036502,"Census Tract 365.02, Bronx County, New York",663,55,83,50,580,66
1400000US36005036700,36005036700,"Census Tract 367, Bronx County, New York",658,41,66,32,592,50
1400000US36005036800,36005036800,"Census Tract 368, Bronx County, New York",628,35,272,70,356,73
1400000US36005036901,36005036901,"Census Tract 369.01, Bronx County, New York",774,48,0,11,774,48
1400000US36005036902,36005036902,"Census Tract 369.02, Bronx County, New York",704,54,45,30,659,53
1400000US36005037000,36005037000,"Census Tract 370, Bronx County, New York",796,40,371,60,425,67
1400000US36005037100,36005037100,"Census Tract 371, Bronx County, New York",1691,101,203,71,1488,101
1400000US36005037200,36005037200,"Census Tract 372, Bronx County, New York",709,69,228,57,481,82
1400000US36005037300,36005037300,"Census Tract 373, Bronx County, New York",1795,97,382,98,1413,127
1400000US36005037400,36005037400,"Census Tract 374, Bronx County, New York",1463,82,137,77,1326,112
1400000US36005037504,36005037504,"Census Tract 375.04, Bronx County, New York",1249,74,55,36,1194,77
1400000US36005037600,36005037600,"Census Tract 376, Bronx County, New York",721,65,194,53,527,78
1400000US36005037800,36005037800,"Census Tract 378, Bronx County, New York",1057,47,164,82,893,90
1400000US36005037900,36005037900,"Census Tract 379, Bronx County, New York",1527,74,65,41,1462,79
1400000US36005038000,36005038000,"Census Tract 380, Bronx County, New York",1733,95,426,114,1307,126
1400000US36005038100,36005038100,"Census Tract 381, Bronx County, New York",2230,95,133,77,2097,126
1400000US36005038200,36005038200,"Census Tract 382, Bronx County, New York",837,50,421,70,416,76
1400000US36005038301,36005038301,"Census Tract 383.01, Bronx County, New York",1509,71,18,29,1491,79
1400000US36005038302,36005038302,"Census Tract 383.02, Bronx County, New York",1883,74,9,14,1874,74
1400000US36005038500,36005038500,"Census Tract 385, Bronx County, New York",1607,81,158,77,1449,102
1400000US36005038600,36005038600,"Census Tract 386, Bronx County, New York",2489,155,545,163,1944,191
1400000US36005038700,36005038700,"Census Tract 387, Bronx County, New York",1176,88,84,52,1092,90
1400000US36005038800,36005038800,"Census Tract 388, Bronx County, New York",817,54,354,68,463,71
1400000US36005038900,36005038900,"Census Tract 389, Bronx County, New York",1721,99,64,37,1657,102
1400000US36005039000,36005039000,"Census Tract 390, Bronx County, New York",1006,72,250,90,756,91
1400000US36005039100,36005039100,"Census Tract 391, Bronx County, New York",2359,148,164,90,2195,166
1400000US36005039200,36005039200,"Census Tract 392, Bronx County, New York",554,37,82,37,472,50
1400000US36005039300,36005039300,"Census Tract 393, Bronx County, New York",2996,138,129,83,2867,153
1400000US36005039400,36005039400,"Census Tract 394, Bronx County, New York",1602,67,216,70,1386,78
1400000US36005039500,36005039500,"Census Tract 395, Bronx County, New York",1447,98,166,78,1281,102
1400000US36005039600,36005039600,"Census Tract 396, Bronx County, New York",1323,87,328,98,995,105
1400000US36005039700,36005039700,"Census Tract 397, Bronx County, New York",524,45,18,15,506,45
1400000US36005039800,36005039800,"Census Tract 398, Bronx County, New York",953,94,506,95,447,98
1400000US36005039901,36005039901,"Census Tract 399.01, Bronx County, New York",1646,80,70,45,1576,89
1400000US36005039902,36005039902,"Census Tract 399.02, Bronx County, New York",1711,61,15,18,1696,62
1400000US36005040100,36005040100,"Census Tract 401, Bronx County, New York",1542,69,21,23,1521,79
1400000US36005040302,36005040302,"Census Tract 403.02, Bronx County, New York",1429,56,9,13,1420,59
1400000US36005040303,36005040303,"Census Tract 403.03, Bronx County, New York",1507,78,148,74,1359,99
1400000US36005040304,36005040304,"Census Tract 403.04, Bronx County, New York",1184,77,27,21,1157,74
1400000US36005040400,36005040400,"Census Tract 404, Bronx County, New York",1001,67,436,95,565,104
1400000US36005040501,36005040501,"Census Tract 405.01, Bronx County, New York",1353,85,111,72,1242,103
1400000US36005040502,36005040502,"Census Tract 405.02, Bronx County, New York",2268,138,164,106,2104,159
1400000US36005040600,36005040600,"Census Tract 406, Bronx County, New York",1184,81,373,101,811,112
1400000US36005040701,36005040701,"Census Tract 407.01, Bronx County, New York",1161,56,0,11,1161,56
